18:58:43 INFO  : Registering command handlers for SDK TCF services
21:50:42 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
21:52:32 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:52:32 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
21:52:34 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
21:53:05 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:53:05 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
21:53:07 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
21:53:56 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:53:56 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
21:53:59 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
21:54:43 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:54:43 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
21:54:45 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
21:55:14 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:55:14 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
21:55:16 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
22:04:59 INFO  : SDK has detected change in the last modified timestamps for source hardware specification file Source:1757098998904,  Project:1757098174471
22:04:59 INFO  : Project design_1_wrapper_hw_platform_0's source hardware specification located at F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf is now different from the local copy.
		 The local copy will be replaced with the source specification and your workspace will be updated.
22:05:04 INFO  : Copied contents of F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf into \design_1_wrapper_hw_platform_0\system.hdf.
22:05:04 INFO  : Synchronizing projects in the workspace with the hardware platform specification changes.
22:05:06 INFO  : 
22:05:07 INFO  : Updating hardware inferred compiler options for port_game_mb.
22:05:07 INFO  : Clearing existing target manager status.
22:05:07 INFO  : Closing and re-opening the MSS file of ther project port_game_mb_bsp
22:05:08 INFO  : Workspace synchronized with the new hardware specification file. Cleaning dependent projects...
22:05:09 WARN  : Linker script will not be updated automatically. Users need to update it manually.
22:14:07 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:14:07 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
22:14:10 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
22:14:58 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:14:58 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
22:15:00 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
22:16:19 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:16:19 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
22:16:21 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
22:21:15 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:21:15 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
22:21:17 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
22:32:11 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:32:11 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
22:32:13 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
22:50:05 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:50:05 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
22:50:07 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
11:54:31 INFO  : Registering command handlers for SDK TCF services
11:54:32 INFO  : Launching XSCT server: xsct.bat -interactive F:\vivado_project\nexys_port_game_mb\nexys_port_game_mb.sdk\temp_xsdb_launch_script.tcl
11:54:36 INFO  : XSCT server has started successfully.
11:54:39 INFO  : Successfully done setting XSCT server connection channel  
11:54:39 INFO  : Successfully done setting SDK workspace  
11:54:39 INFO  : Processing command line option -hwspec F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf.
11:54:39 INFO  : Checking for hwspec changes in the project design_1_wrapper_hw_platform_0.
11:59:54 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:59:56 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
11:59:59 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:00:34 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:00:34 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
12:00:37 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:06:28 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:06:28 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
12:06:30 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:18:56 INFO  : SDK has detected change in the last modified timestamps for source hardware specification file Source:1757150271334,  Project:1757098998904
12:18:56 INFO  : Project design_1_wrapper_hw_platform_0's source hardware specification located at F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf is now different from the local copy.
		 The local copy will be replaced with the source specification and your workspace will be updated.
12:19:00 INFO  : Copied contents of F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf into \design_1_wrapper_hw_platform_0\system.hdf.
12:19:00 INFO  : Synchronizing projects in the workspace with the hardware platform specification changes.
12:19:06 INFO  : 
12:19:07 INFO  : Updating hardware inferred compiler options for port_game_mb.
12:19:07 INFO  : Clearing existing target manager status.
12:22:01 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:22:01 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
12:22:03 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:34:01 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:34:01 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
12:34:03 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:35:55 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:35:55 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
12:35:58 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:37:30 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:37:30 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
12:37:32 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:44:50 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:44:50 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
12:44:52 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
13:12:35 INFO  : SDK has detected change in the last modified timestamps for source hardware specification file Source:1757153514687,  Project:1757150271334
13:12:35 INFO  : Project design_1_wrapper_hw_platform_0's source hardware specification located at F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf is now different from the local copy.
		 The local copy will be replaced with the source specification and your workspace will be updated.
13:12:38 INFO  : Copied contents of F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf into \design_1_wrapper_hw_platform_0\system.hdf.
13:12:38 INFO  : Synchronizing projects in the workspace with the hardware platform specification changes.
13:12:40 INFO  : 
13:12:41 INFO  : Updating hardware inferred compiler options for port_game_mb.
13:12:41 INFO  : Clearing existing target manager status.
13:15:55 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:15:55 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
13:15:57 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
13:27:53 INFO  : SDK has detected change in the last modified timestamps for source hardware specification file Source:1757154399960,  Project:1757153514687
13:27:53 INFO  : Project design_1_wrapper_hw_platform_0's source hardware specification located at F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf is now different from the local copy.
		 The local copy will be replaced with the source specification and your workspace will be updated.
13:27:57 INFO  : Copied contents of F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf into \design_1_wrapper_hw_platform_0\system.hdf.
13:27:58 INFO  : Synchronizing projects in the workspace with the hardware platform specification changes.
13:28:00 INFO  : 
13:28:00 INFO  : Updating hardware inferred compiler options for port_game_mb.
13:28:00 INFO  : Clearing existing target manager status.
13:28:43 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:28:43 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
13:28:45 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
13:40:37 INFO  : SDK has detected change in the last modified timestamps for source hardware specification file Source:1757155204947,  Project:1757154399960
13:40:37 INFO  : Project design_1_wrapper_hw_platform_0's source hardware specification located at F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf is now different from the local copy.
		 The local copy will be replaced with the source specification and your workspace will be updated.
13:40:39 INFO  : Copied contents of F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf into \design_1_wrapper_hw_platform_0\system.hdf.
13:40:40 INFO  : Synchronizing projects in the workspace with the hardware platform specification changes.
13:40:42 INFO  : 
13:40:42 INFO  : Updating hardware inferred compiler options for port_game_mb.
13:40:43 INFO  : Clearing existing target manager status.
13:41:22 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:41:22 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
13:41:25 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
13:43:12 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:43:12 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
13:43:14 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
13:45:21 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:45:21 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
13:45:24 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
13:49:11 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:49:11 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
13:49:13 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
13:50:22 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:50:22 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
13:50:25 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
13:52:35 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:52:35 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
13:52:37 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
15:13:43 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
15:13:43 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
15:13:45 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
15:15:11 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
15:15:11 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
15:15:14 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
15:16:20 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
15:16:20 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
15:16:22 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
15:17:20 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
15:17:20 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
15:17:22 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
15:22:02 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
15:22:02 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
15:22:04 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
15:24:21 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
15:24:21 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
15:24:23 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
15:32:37 INFO  : SDK has detected change in the last modified timestamps for source hardware specification file Source:1757161938108,  Project:1757155204947
15:32:37 INFO  : Project design_1_wrapper_hw_platform_0's source hardware specification located at F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf is now different from the local copy.
		 The local copy will be replaced with the source specification and your workspace will be updated.
15:32:38 INFO  : Copied contents of F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper.hdf into \design_1_wrapper_hw_platform_0\system.hdf.
15:32:38 INFO  : Synchronizing projects in the workspace with the hardware platform specification changes.
15:32:40 INFO  : 
15:32:41 INFO  : Updating hardware inferred compiler options for port_game_mb.
15:32:41 INFO  : Clearing existing target manager status.
15:33:26 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
15:33:26 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
15:33:28 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
15:34:03 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
15:34:03 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
15:34:05 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
15:34:53 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
15:34:53 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys A7 -100T 210292B40B2BA" && level==0} -index 0' command is executed.
15:34:55 INFO  : FPGA configured successfully with bitstream "F:/vivado_project/nexys_port_game_mb/nexys_port_game_mb.sdk/design_1_wrapper_hw_platform_0/download.bit"
